Rank,City,Population,
1,Denver,716492,
2,Colorado Springs,472688,
3,Aurora,374114,
4,Fort Collins,167830,
5,Lakewood,156798,
6,Thornton,139436,
7,Arvada,120492,
8,Westminster,113479,
9,Pueblo,111750,
10,Centennial,110831,
11,Boulder,107353,
12,Greeley,107348,
13,Highlands Ranch,105264,
14,Longmont,96577,
15,Loveland,77446,
16,Broomfield,69267,
17,Castle Rock,64827,
18,Grand Junction,63374,
19,Commerce City,58449,
20,Parker,55636,
21,Littleton,48007,
22,Brighton,41254,
23,Northglenn,39010,
24,Security-Widefield,37325,
25,Englewood,34690,
26,Dakota Ridge,33942,
27,Ken Caryl,33087,
28,Wheat Ridge,31400,
29,Pueblo West,30901,
30,Fountain,30454,
31,Windsor,28967,
32,Lafayette,28924,
33,Erie,25447,
34,Columbine,25060,
35,Golden,21254,
36,Evans,21236,
37,Louisville,21163,
38,Clifton,20045,
39,Montrose,19512,
40,Durango,18985,
41,Sherrelwood,18616,
42,Cimarron Hills,17744,
43,Cañon City,16750,
44,Welby,16002,
45,Greenwood Village,15801,
46,Fort Carson,15015,
47,Firestone,14860,
48,Johnstown,14795,
49,Lone Tree,14653,
50,Black Forest,14188,
51,Sterling,13630,
52,Frederick,13480,
53,Fruita,13406,
54,Steamboat Springs,13212,
55,Superior,13175,
56,Federal Heights,12845,
57,Cherry Creek,12310,
58,Berkley,11868,
59,The Pinery,11720,
60,Fort Morgan,11359,
61,Castle Pines,10507,
62,Alamosa,9997,
63,Wellington,9994,
64,Glenwood Springs,9972,
65,Rifle,9732,
66,Roxborough Park,9588,
67,Stonegate,9379,
68,Redlands,9367,
69,Derby,9365,
70,Gunbarrel,9321,
71,Woodmoor,9264,
72,Edwards,9202,
73,Craig,8947,
74,Delta,8920,
75,Cortez,8721,
76,Evergreen,8516,
77,Fairmount,8298,
78,Fort Lupton,8275,
79,Trinidad,8211,
80,Applewood,8173,
81,Monument,8010,
82,Berthoud,7946,
83,Fruitvale and Woodland Park,7785,
84,Milliken,7674,
85,Lamar,7656,
86,Aspen,7365,
87,Gypsum,7353,
88,La Junta,6998,
89,Eagle,6961,
90,Lochbuie,6938,
91,Carbondale,6879,
92,Twin Lakes,6767,
93,Gleneagle,6706,
94,Cherry Hills Village,6650,
95,Gunnison,6594,
96,Avon,6482,
97,Orchard Mesa,6380,
98,Estes Park,6352,
99,Sheridan,6164,
100,Air Force Academy,6098,
101,Salida,5963,
102,Dacono,5826,
103,Stratmoor,5763,
104,Shaw Heights,5534,
105,Eaton,5529,
106,Vail,5450,
107,Dove Valley,5409,
108,Brush,5384,
109,Manitou Springs,5346,
110,Edgewater,5342,
111,Glendale,5170,
112,Battlement Mesa,5072,
113,Severance,5064,
114,New Castle,5024,
115,Breckenridge,5020,
116,Silverthorne,4821,
117,Mead,4737,
118,Niwot,4445,
119,Castle Pines Village,4325,
120,West Pleasant View,4220,
121,Basalt,4166,
122,Monte Vista,4124,
123,El Jebel,4062,
124,Todd Creek,4012,
125,Timnath,3992,
126,Florence,3956,
127,Rocky Ford,3828,
128,Genesee,3670,
129,Yuma,3460,
130,Ponderosa Park,3455,
131,Meridian,3382,
132,Silt,3181,
133,Burlington,3178,
134,Penrose,3176,
135,Orchard City,3161,
136,Frisco,3157,
137,Walsenburg,3046,
138,Lincoln Park,3035,
139,Strasburg,2888,
140,Acres Green,2824,
141,Buena Vista,2823,
142,Holly Hills,2797,
143,Snowmass Village,2773,
144,Palmer Lake,2772,
145,Platteville,2769,
146,Leadville,2762,
147,Palisade,2714,
148,Bayfield,2705,
149,Bennett,2512,
150,Telluride,2484,
151,Laporte,2357,
152,La Salle,2346,
153,Wray,2334,
154,Colorado City,2316,
155,Center,2304,
156,Rangely,2291,
157,Cedaredge,2266,
158,Meeker,2261,
159,Holyoke,2217,
160,Las Animas,2190,
161,Lyons,2155,
162,Granby,2098,
163,Pagosa Springs,2005,
164,Hayden,1970,
165,Coal Creek,1952,
166,Limon,1924,
167,Perry Park,1871,
168,Ault,1843,
169,Hudson,1838,
170,Olathe,1825,
171,Inverness,1808,
172,Idaho Springs,1794,
173,Leadville North,1786,
174,Akron,1723,
175,Crested Butte,1681,
176,Kersey,1655,
177,Alamosa East,1620,
178,Del Norte,1563,
179,Nederland,1547,
180,Kremmling,1503,
181,Columbine Valley,1488,
182,Paonia,1462,
183,Mountain Village,1434,
184,Mancos,1419,
185,Elizabeth,1416,
186,Indian Hills,1381,
187,Springfield,1379,
188,Aetna Estates,1352,
189,Cascade-Chipita Park,1334,
190,Fraser,1302,
191,Cripple Creek,1267,
192,Keenesburg,1229,
193,Byers,1212,
194,Keystone,1187,
195,Loma,1185,
196,Julesburg,1180,
197,Aristocrat Ranchettes,1150,
198,Fowler,1144,
199,Floyd Hill,1133,
200,Pierce,1132,
201,Minturn,1129,
202,Parachute,1120,
203,Gilcrest,1108,
204,Georgetown,1088,
205,Pine Brook Hill,1070,
206,Upper Bear Creek,1057,
207,Winter Park,1051,
208,Ordway,1028,
209,Towaoc,1025,
210,Ridgway,1016,
211,Ouray,1010,
212,Wiggins,996,
213,Manassa,993,
214,Dillon,973,
215,Oak Creek,966,
216,Dolores,958,
217,Bow Mar,946,
218,Poncha Springs,940,
219,Hotchkiss,933,
220,Blue River,927,
221,Lazy Acres,923,
222,Haxtun,907,
223,Dotsero,892,
224,Ignacio,888,
225,Howard,882,
226,Sanford,880,
227,Log Lane Village,874,
228,Kittredge and Cheyenne Wells,853,
229,Mount Crested Butte,852,
230,Beulah Valley,845,
231,Calhan,834,
232,Blende,824,
233,Paragon Estates,817,
234,La Veta,810,
235,Ellicott,809,
236,La Jara,803,
237,Avondale,795,
238,Foxfield,792,
239,Cattle Creek,777,
240,Holly,775,
241,Central City,765,
242,Fairplay,762,
243,Kiowa,757,
244,Aspen Park,754,
245,Antonito,753,
246,Eldorado Springs,750,
247,Hugo,748,
248,Deer Trail,736,
249,Nucla,717,
250,Hot Sulphur Springs,716,
251,Green Mountain Falls,706,
252,Williamsburg,702,
253,Collbran,698,
254,Silverton,694,
255,Salt Creek,670,
256,Silver Cliff,657,
257,Stratton,650,
258,San Luis,644,
259,Watkins,643,
260,Simla,639,
261,Dove Creek,630,
262,Westcliffe,620,
263,Walden,600,
264,Swink,596,
265,Eads,592,
266,Norwood,591,
267,North Washington,588,
268,Grand View Estates,568,
269,Flagler,551,
270,Naturita,541,
271,Mountain View,537,
272,Chacra,531,
273,Walsh,517,
274,Rockvale,512,
275,Loghill Village,508,
276,Grand Lake and Saguache,504,
277,Allenspark and De Beque,503,
278,Granada,500,
279,Otis,485,
280,Aguilar and Johnson Village,484,
